epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1388,1.58416,3.77978,1.27642,0.5777,0.27021,0.25067,0.17017,1.22486,4.50129,0.99827,8.11966e-05,8.11966e-05,8.11966e-05
2,24.1819,1.17204,1.42112,1.04552,0.81939,0.77263,0.87214,0.60435,1.18628,0.76248,0.97882,0.000162494,0.000162494,0.000162494
3,33.7125,1.05733,0.96743,1.01668,0.86582,0.86996,0.9107,0.69059,1.00899,0.64987,0.934,0.000241729,0.000241729,0.000241729
4,44.3294,0.99775,0.7865,0.99024,0.90455,0.92718,0.98242,0.7563,0.92906,0.57365,0.91149,0.000240719,0.000240719,0.000240719
5,54.7166,0.95289,0.70244,0.97646,0.92413,0.97548,0.99193,0.76978,0.9146,0.48904,0.90578,0.000237625,0.000237625,0.000237625
6,64.4271,0.9184,0.65874,0.95969,0.93525,0.93972,0.99418,0.77989,0.87579,0.48254,0.89611,0.000234531,0.000234531,0.000234531
7,73.2352,0.91259,0.61918,0.95255,0.90957,0.98286,0.99411,0.76996,0.89156,0.44993,0.89777,0.000231438,0.000231438,0.000231438
8,81.9545,0.87625,0.59536,0.94801,0.95595,0.98598,0.99422,0.73774,1.04907,0.47022,0.93363,0.000228344,0.000228344,0.000228344
9,90.7639,0.86671,0.5762,0.93562,0.92582,0.97374,0.98532,0.77653,0.87538,0.45457,0.88863,0.00022525,0.00022525,0.00022525
10,99.4908,0.85737,0.55199,0.93641,0.9692,0.9846,0.99437,0.78953,0.87331,0.41441,0.88869,0.000222156,0.000222156,0.000222156
11,108.798,0.83505,0.53055,0.92735,0.97311,0.96731,0.99375,0.77913,0.8872,0.43228,0.89893,0.000219062,0.000219062,0.000219062
12,119.099,0.82122,0.52645,0.92647,0.96707,0.97112,0.99457,0.76219,0.91036,0.43067,0.91069,0.000215969,0.000215969,0.000215969
13,128.548,0.81152,0.50852,0.91603,0.96275,0.95437,0.99459,0.78151,0.90898,0.40549,0.90628,0.000212875,0.000212875,0.000212875
14,137.182,0.79378,0.49716,0.91432,0.95449,0.98336,0.99457,0.78747,0.8808,0.40815,0.89887,0.000209781,0.000209781,0.000209781
15,145.822,0.77066,0.48724,0.90412,0.95226,0.97766,0.99489,0.75664,0.9663,0.4167,0.91918,0.000206688,0.000206688,0.000206688
16,154.498,0.76966,0.48134,0.90466,0.96753,0.97738,0.99497,0.76216,0.91812,0.40819,0.91611,0.000203594,0.000203594,0.000203594
17,163.29,0.76775,0.47257,0.9056,0.97387,0.98148,0.99488,0.79525,0.83332,0.38948,0.88542,0.0002005,0.0002005,0.0002005
18,173.328,0.75095,0.46661,0.90144,0.97034,0.9824,0.99474,0.80112,0.85456,0.38714,0.88957,0.000197406,0.000197406,0.000197406
19,184.383,0.72974,0.45954,0.89022,0.97964,0.98102,0.99453,0.80254,0.84081,0.38946,0.8902,0.000194313,0.000194313,0.000194313
20,195.059,0.72591,0.44696,0.89496,0.98151,0.98511,0.99478,0.8006,0.85711,0.38961,0.89389,0.000191219,0.000191219,0.000191219
21,205.828,0.7199,0.44711,0.88935,0.98144,0.95729,0.99461,0.78755,0.8843,0.38996,0.90391,0.000188125,0.000188125,0.000188125
22,216.797,0.70382,0.43773,0.88548,0.97592,0.98328,0.99467,0.77235,0.91369,0.38522,0.90811,0.000185031,0.000185031,0.000185031
23,227.499,0.69259,0.42405,0.88293,0.97822,0.98637,0.99493,0.79073,0.87655,0.38907,0.90692,0.000181937,0.000181937,0.000181937
24,238.162,0.68636,0.42065,0.87931,0.97993,0.98806,0.99493,0.78355,0.91107,0.38134,0.91058,0.000178844,0.000178844,0.000178844
25,248.959,0.68715,0.42366,0.88037,0.97926,0.98814,0.99479,0.79482,0.87441,0.37314,0.90396,0.00017575,0.00017575,0.00017575
26,259.65,0.66834,0.4123,0.8738,0.98139,0.99401,0.99487,0.77865,0.9264,0.38129,0.91353,0.000172656,0.000172656,0.000172656
27,269.121,0.67556,0.4211,0.87726,0.97831,0.98905,0.99495,0.79305,0.89989,0.37118,0.90376,0.000169563,0.000169563,0.000169563
28,277.97,0.66072,0.41241,0.86869,0.97799,0.98814,0.99493,0.77512,0.90716,0.37457,0.90901,0.000166469,0.000166469,0.000166469
29,286.841,0.64648,0.39062,0.87102,0.97815,0.98707,0.99474,0.77183,0.92337,0.37484,0.9201,0.000163375,0.000163375,0.000163375
30,295.702,0.64697,0.39544,0.87,0.98081,0.98001,0.99478,0.79722,0.8726,0.36911,0.90193,0.000160281,0.000160281,0.000160281
31,304.675,0.63322,0.3918,0.86445,0.97275,0.99043,0.99483,0.78643,0.8807,0.36816,0.91174,0.000157188,0.000157188,0.000157188
32,313.533,0.63045,0.383,0.86088,0.97418,0.99467,0.99489,0.77754,0.93193,0.36684,0.92131,0.000154094,0.000154094,0.000154094
33,322.248,0.62598,0.38816,0.86212,0.98189,0.98575,0.99479,0.7956,0.88717,0.35982,0.90843,0.000151,0.000151,0.000151
34,331.01,0.60749,0.37563,0.86158,0.98215,0.98938,0.99495,0.79358,0.89284,0.35715,0.91412,0.000147906,0.000147906,0.000147906
35,339.846,0.61049,0.37831,0.85995,0.97758,0.98185,0.99491,0.79989,0.86656,0.35995,0.90052,0.000144812,0.000144812,0.000144812
36,350.056,0.6004,0.36396,0.85388,0.96974,0.98558,0.99483,0.80309,0.87803,0.36325,0.90741,0.000141719,0.000141719,0.000141719
37,360.679,0.58276,0.36451,0.85188,0.97849,0.97609,0.9949,0.79243,0.88781,0.36234,0.91064,0.000138625,0.000138625,0.000138625
38,371.066,0.58576,0.3606,0.8549,0.97781,0.99036,0.99473,0.7905,0.90277,0.36474,0.91207,0.000135531,0.000135531,0.000135531
39,381.587,0.5725,0.35683,0.85022,0.98,0.9861,0.99494,0.79438,0.89442,0.35874,0.90986,0.000132438,0.000132438,0.000132438
40,391.925,0.57057,0.35703,0.84787,0.983,0.98426,0.99482,0.79455,0.88506,0.3588,0.9114,0.000129344,0.000129344,0.000129344
41,402.124,0.5684,0.35309,0.84854,0.98408,0.99312,0.99496,0.78944,0.89507,0.34765,0.91034,0.00012625,0.00012625,0.00012625
42,411.605,0.56037,0.35257,0.84507,0.982,0.99107,0.99481,0.79141,0.89146,0.36254,0.91163,0.000123156,0.000123156,0.000123156
43,420.422,0.56109,0.35458,0.84884,0.98352,0.98732,0.9949,0.7876,0.91806,0.35801,0.91777,0.000120063,0.000120063,0.000120063
44,429.148,0.54773,0.34942,0.84493,0.98357,0.98526,0.99496,0.79339,0.90427,0.35454,0.91884,0.000116969,0.000116969,0.000116969
45,438.143,0.5372,0.33952,0.83927,0.97869,0.99167,0.99494,0.7991,0.90075,0.3519,0.91249,0.000113875,0.000113875,0.000113875
46,446.991,0.53588,0.3408,0.8408,0.9844,0.9872,0.99491,0.80295,0.88256,0.34533,0.90721,0.000110781,0.000110781,0.000110781
47,455.722,0.52845,0.3371,0.84097,0.98121,0.98763,0.99479,0.79579,0.90424,0.35115,0.91544,0.000107688,0.000107688,0.000107688
48,464.772,0.52825,0.33568,0.83542,0.98448,0.9871,0.99493,0.80054,0.88669,0.35589,0.91565,0.000104594,0.000104594,0.000104594
49,473.553,0.51352,0.32661,0.83607,0.98268,0.98735,0.99495,0.79248,0.90982,0.35278,0.92135,0.0001015,0.0001015,0.0001015
50,482.263,0.5271,0.33,0.8375,0.98214,0.98981,0.99497,0.7996,0.88257,0.34997,0.91341,9.84062e-05,9.84062e-05,9.84062e-05
51,492.35,0.50155,0.3192,0.83401,0.98157,0.98754,0.99493,0.7927,0.88657,0.3446,0.91505,9.53125e-05,9.53125e-05,9.53125e-05
52,502.69,0.51414,0.33323,0.83699,0.98346,0.98291,0.99481,0.79304,0.88377,0.34531,0.91287,9.22188e-05,9.22188e-05,9.22188e-05
53,513.129,0.50436,0.32468,0.835,0.98238,0.98785,0.99496,0.78784,0.91937,0.35227,0.92194,8.9125e-05,8.9125e-05,8.9125e-05
54,523.76,0.5012,0.32543,0.83204,0.97699,0.98733,0.99491,0.78709,0.88787,0.35333,0.91757,8.60313e-05,8.60313e-05,8.60313e-05
55,534.811,0.4909,0.31822,0.82739,0.98493,0.98311,0.99498,0.79118,0.90272,0.34362,0.91874,8.29375e-05,8.29375e-05,8.29375e-05
56,545.797,0.4822,0.31699,0.82691,0.98636,0.98718,0.99497,0.79161,0.89289,0.34627,0.91702,7.98438e-05,7.98438e-05,7.98438e-05
