epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.356,1.19867,3.29891,1.24254,0.678,0.85277,0.67592,0.43948,1.18983,2.09538,1.42617,0.000651515,0.000651515,0.000651515
2,52.1606,1.10506,0.85092,1.14028,0.02381,0.78,0.02263,0.01329,nan,nan,nan,0.00129208,0.00129208,0.00129208
3,80.1147,1.13165,0.80947,1.15706,0.69073,0.8,0.81152,0.52205,1.43313,3.13257,1.80281,0.00190625,0.00190625,0.00190625
4,109.346,1.07041,0.67933,1.13152,0.01114,0.625,0.00894,0.00407,nan,nan,nan,0.0018812,0.0018812,0.0018812
5,138.795,1.05272,0.61719,1.10164,0.7976,0.82,0.85103,0.58586,1.25151,1.1014,1.5584,0.0018416,0.0018416,0.0018416
6,167.053,1.03738,0.62764,1.10837,0.66578,0.895,0.829,0.58756,1.14593,1.31094,1.35165,0.001802,0.001802,0.001802
7,189.336,1.01735,0.60393,1.08687,0.90813,0.83,0.83499,0.55445,1.18404,1.44375,1.43325,0.0017624,0.0017624,0.0017624
8,217.522,0.9951,0.57954,1.09126,0.92871,0.91189,0.94171,0.6511,1.18681,0.98206,1.3743,0.0017228,0.0017228,0.0017228
9,242.358,0.99491,0.60479,1.07677,0.89574,0.795,0.84648,0.58825,1.39891,1.64985,1.47644,0.0016832,0.0016832,0.0016832
10,270.971,0.99449,0.5576,1.06076,0.9689,0.77895,0.78485,0.57043,1.47159,1.77046,2.1633,0.0016436,0.0016436,0.0016436
11,293.639,0.94724,0.52625,1.05404,0.98999,0.9,0.93167,0.66245,1.27461,1.21581,1.3949,0.001604,0.001604,0.001604
12,320.978,0.96804,0.54668,1.05711,0.96706,0.99,0.99179,0.74995,0.98084,0.53937,1.17322,0.0015644,0.0015644,0.0015644
13,343.645,0.94914,0.52716,1.0483,0.9129,0.99,0.97244,0.71723,1.0148,0.5989,1.18859,0.0015248,0.0015248,0.0015248
14,370.961,0.96165,0.52082,1.04941,0.98211,0.97,0.99061,0.73392,1.01254,0.59208,1.18088,0.0014852,0.0014852,0.0014852
15,393.561,0.90705,0.50919,1.03029,0.99165,0.995,0.99305,0.76324,0.93597,0.49107,1.12673,0.0014456,0.0014456,0.0014456
16,420.922,0.97452,0.53203,1.06218,0.98837,0.99,0.9945,0.73072,0.98138,0.53971,1.12552,0.001406,0.001406,0.001406
17,448.236,0.92655,0.49169,1.03851,0.98253,0.995,0.9944,0.75191,0.93035,0.47572,1.1512,0.0013664,0.0013664,0.0013664
18,470.813,0.92192,0.47683,1.03037,0.99343,0.995,0.99475,0.76547,0.9046,0.47786,1.08045,0.0013268,0.0013268,0.0013268
19,498.175,0.92237,0.49889,1.04813,0.98514,0.995,0.9949,0.73929,0.96567,0.54242,1.18102,0.0012872,0.0012872,0.0012872
20,525.461,0.91035,0.4716,1.02236,0.99684,0.99,0.99475,0.75094,0.96365,0.47645,1.1391,0.0012476,0.0012476,0.0012476
21,549.283,0.90555,0.47945,1.02443,0.99481,0.99,0.99441,0.75545,0.95636,0.46293,1.12187,0.001208,0.001208,0.001208
22,576.605,0.91518,0.46448,1.03094,0.9705,0.98688,0.99034,0.76378,0.93968,0.4634,1.14012,0.0011684,0.0011684,0.0011684
23,605,0.91215,0.46545,1.03469,0.995,0.99466,0.994,0.76411,0.91914,0.46126,1.09863,0.0011288,0.0011288,0.0011288
24,629.945,0.87259,0.45358,1.02114,0.98959,1,0.99485,0.77298,0.93872,0.42333,1.13388,0.0010892,0.0010892,0.0010892
25,658.266,0.90214,0.45753,1.01486,0.99319,1,0.9943,0.75833,0.9288,0.45171,1.08988,0.0010496,0.0010496,0.0010496
26,686.48,0.87547,0.44774,1.014,0.98033,0.99663,0.98981,0.7525,0.92313,0.45394,1.12401,0.00101,0.00101,0.00101
27,709.822,0.86793,0.44683,1.01271,0.96217,1,0.98949,0.75072,0.93802,0.51694,1.12099,0.0009704,0.0009704,0.0009704
28,738.061,0.88169,0.44533,1.02135,0.99006,0.99574,0.995,0.77298,0.9039,0.42272,1.09766,0.0009308,0.0009308,0.0009308
29,765.997,0.88941,0.43401,1.00973,0.98996,1,0.995,0.76747,0.89861,0.41223,1.0988,0.0008912,0.0008912,0.0008912
30,795.416,0.88295,0.42705,1.01659,0.98905,1,0.99445,0.75549,0.94291,0.4381,1.11379,0.0008516,0.0008516,0.0008516
