epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,72.5111,1.27626,1.4344,1.2039,0.93779,0.86463,0.92972,0.63739,1.14869,0.55304,1.03704,0.00996016,0.00332005,0.00996016,0.00332005,0.00996016,0.00332005,0.00996016,0.00332005
2,139.018,1.13091,0.65596,1.10349,0.93788,0.90069,0.96628,0.70114,0.98414,0.52328,0.9917,0.0197132,0.00657105,0.0197132,0.00657105,0.0197132,0.00657105,0.0197132,0.00657105
3,200.375,1.14135,0.65712,1.1132,0.82129,0.82992,0.87461,0.61658,1.04828,0.63974,1.03321,0.0292186,0.00973955,0.0292186,0.00973955,0.0292186,0.00973955,0.0292186,0.00973955
4,261.3,1.13889,0.64283,1.12259,0.90841,0.89748,0.93402,0.67458,0.99694,0.53045,1.01155,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
5,322.839,1.10333,0.59373,1.10742,0.9661,0.91807,0.94435,0.67087,1.04428,0.48156,1.03438,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
6,384.0,1.07806,0.56529,1.10331,0.91185,0.88497,0.89828,0.62044,1.12425,0.5543,1.05766,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125
7,444.433,1.06195,0.54224,1.09772,0.93675,0.9556,0.95644,0.66263,1.09376,0.48244,1.07136,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
8,504.756,1.04518,0.52467,1.10175,0.91193,0.97263,0.95343,0.67704,1.03576,0.44025,1.03827,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
9,565.165,1.02728,0.51077,1.09338,0.94955,0.97426,0.96687,0.70098,0.99727,0.41528,1.02331,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
10,625.367,1.01595,0.49443,1.09859,0.95619,0.95815,0.98701,0.74032,0.94159,0.3979,1.01115,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625
11,685.749,1.00798,0.48428,1.09675,0.95522,0.96995,0.96696,0.72646,0.93755,0.39983,1.01176,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
12,746.149,0.9994,0.47872,1.0962,0.95766,0.97159,0.96876,0.72046,0.96607,0.38549,1.01764,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875
13,806.762,0.99188,0.47193,1.09116,0.9318,0.97992,0.95773,0.71758,0.94448,0.38544,1.01747,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
14,866.927,0.9752,0.4596,1.08468,0.94723,0.97649,0.95931,0.71297,0.96118,0.38575,1.02026,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125
15,927.372,0.97635,0.45778,1.08461,0.95713,0.98173,0.97001,0.72735,0.95849,0.38844,1.02062,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
16,987.596,0.96678,0.45286,1.08263,0.96391,0.97586,0.98372,0.74616,0.92685,0.3758,1.00682,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375
17,1048.47,0.95497,0.44379,1.07348,0.95639,0.98032,0.98437,0.75123,0.90882,0.37094,1.0006,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
18,1108.74,0.95489,0.44149,1.07511,0.93693,0.98234,0.96351,0.72358,0.95655,0.36392,1.00877,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625
19,1169.24,0.94771,0.43784,1.07098,0.97204,0.975,0.98499,0.74214,0.94866,0.36439,1.00918,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
20,1229.25,0.94422,0.42991,1.06868,0.97063,0.97043,0.9848,0.75406,0.90629,0.36341,0.99604,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875
21,1291.42,0.9369,0.42711,1.06253,0.97838,0.9833,0.98924,0.76231,0.90788,0.34698,0.99451,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
22,1364.04,0.93364,0.42578,1.06308,0.95452,0.97542,0.98666,0.75645,0.89543,0.35089,0.99285,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125
23,1439.34,0.92618,0.42169,1.05817,0.96488,0.96994,0.98278,0.75583,0.90975,0.35295,0.99847,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
24,1511.94,0.92024,0.41761,1.05677,0.95009,0.97695,0.98554,0.75456,0.90754,0.35256,1.00024,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375
25,1584.96,0.91547,0.41582,1.05404,0.92749,0.98227,0.98524,0.75413,0.9237,0.35598,1.00267,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
26,1657.34,0.91247,0.41181,1.04914,0.94928,0.98005,0.98771,0.76872,0.89199,0.34584,0.99091,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625
27,1730.27,0.90545,0.40999,1.05034,0.94509,0.98181,0.96571,0.74021,0.90308,0.34305,0.99879,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
28,1802.16,0.90248,0.40639,1.0467,0.95522,0.97001,0.97154,0.74727,0.90272,0.34425,0.99442,0.0199762,0.00665875,0.0199762,0.00665875,0.0199762,0.00665875,0.0199762,0.00665875
29,1878.86,0.89666,0.40202,1.04469,0.94636,0.97563,0.98382,0.76358,0.88832,0.34147,0.98906,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
30,1960.68,0.89259,0.40002,1.0443,0.97512,0.97391,0.98677,0.76758,0.88787,0.33869,0.98743,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125
31,2042.22,0.88845,0.39874,1.03884,0.9383,0.97616,0.962,0.74784,0.88416,0.33693,0.98569,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
32,2124.15,0.88042,0.39473,1.03582,0.9701,0.97485,0.98509,0.76168,0.89223,0.33868,0.98905,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375
33,2205.95,0.87954,0.3941,1.03832,0.97375,0.97598,0.98431,0.75519,0.91052,0.33727,0.99445,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
34,2277.15,0.87676,0.39239,1.03533,0.96947,0.97376,0.98261,0.7642,0.88991,0.33911,0.98805,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625
35,2337.56,0.86942,0.38728,1.03115,0.96581,0.96988,0.98621,0.76835,0.89625,0.33749,0.99018,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
36,2398.33,0.86343,0.38492,1.02717,0.95805,0.97617,0.98652,0.77213,0.88684,0.33206,0.98627,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875
37,2458.9,0.8613,0.38568,1.02411,0.96059,0.97714,0.9857,0.76909,0.89592,0.33656,0.99039,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
38,2519.49,0.85566,0.38231,1.02391,0.96438,0.97317,0.98309,0.76874,0.89123,0.33161,0.99255,0.0162637,0.00542125,0.0162637,0.00542125,0.0162637,0.00542125,0.0162637,0.00542125
39,2580.3,0.85198,0.3806,1.01918,0.95916,0.97545,0.98553,0.76921,0.90116,0.33044,0.99046,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
40,2641.0,0.84524,0.37806,1.01722,0.96584,0.97222,0.98413,0.76562,0.89605,0.33298,0.98942,0.0155212,0.00517375,0.0155212,0.00517375,0.0155212,0.00517375,0.0155212,0.00517375
41,2701.44,0.84117,0.37534,1.01558,0.95633,0.97573,0.98244,0.77186,0.8856,0.333,0.98744,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
42,2776.19,0.83833,0.37222,1.01551,0.97064,0.97326,0.98365,0.76795,0.89313,0.33068,0.99252,0.0147788,0.00492625,0.0147788,0.00492625,0.0147788,0.00492625,0.0147788,0.00492625
43,2849.97,0.83306,0.37157,1.01046,0.95381,0.98221,0.98296,0.76595,0.88415,0.32697,0.98693,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
44,2926.38,0.82904,0.36859,1.00927,0.95946,0.98397,0.98719,0.77538,0.88223,0.32537,0.98605,0.0140363,0.00467875,0.0140363,0.00467875,0.0140363,0.00467875,0.0140363,0.00467875
45,2998.12,0.82679,0.36486,1.00921,0.9703,0.98055,0.98425,0.77005,0.89408,0.32494,0.98993,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
46,3071.37,0.81468,0.36245,1.00364,0.95976,0.97555,0.9872,0.77417,0.88672,0.32321,0.9869,0.0132938,0.00443125,0.0132938,0.00443125,0.0132938,0.00443125,0.0132938,0.00443125
47,3144.41,0.81598,0.3619,1.00497,0.96984,0.97443,0.98584,0.77206,0.89142,0.32589,0.98926,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
48,3215.66,0.81043,0.35857,1.00033,0.96197,0.97147,0.98278,0.77293,0.89804,0.32379,0.99103,0.0125512,0.00418375,0.0125512,0.00418375,0.0125512,0.00418375,0.0125512,0.00418375
49,3288.74,0.80825,0.35699,0.99983,0.95629,0.97611,0.96772,0.7562,0.88962,0.32121,0.98941,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
50,3360.65,0.801,0.35557,0.99734,0.95878,0.97826,0.96791,0.75348,0.89843,0.32321,0.99425,0.0118087,0.00393625,0.0118087,0.00393625,0.0118087,0.00393625,0.0118087,0.00393625
51,3432.4,0.79481,0.35471,0.99268,0.95986,0.97531,0.96888,0.75694,0.89278,0.32127,0.99054,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
52,3504.85,0.79165,0.34976,0.99081,0.96937,0.97184,0.9862,0.7738,0.89205,0.32137,0.99081,0.0110663,0.00368875,0.0110663,0.00368875,0.0110663,0.00368875,0.0110663,0.00368875
53,3577.94,0.79217,0.35029,0.99174,0.96616,0.97917,0.98606,0.77494,0.89357,0.31916,0.99092,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
54,3650.57,0.78498,0.34618,0.99097,0.96526,0.97715,0.98577,0.77289,0.8943,0.31822,0.99277,0.0103237,0.00344125,0.0103237,0.00344125,0.0103237,0.00344125,0.0103237,0.00344125
55,3724.29,0.77661,0.34543,0.98307,0.97463,0.97815,0.98511,0.77237,0.89402,0.31729,0.99156,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
56,3797.3,0.77441,0.34423,0.98659,0.97349,0.9729,0.98409,0.76959,0.89526,0.31774,0.99403,0.00958125,0.00319375,0.00958125,0.00319375,0.00958125,0.00319375,0.00958125,0.00319375
57,3870.18,0.76913,0.33932,0.98216,0.97453,0.97742,0.98473,0.77046,0.89792,0.31802,0.99712,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
58,3942.19,0.76604,0.34044,0.97979,0.97078,0.9751,0.98419,0.7711,0.90354,0.3209,0.99875,0.00883875,0.00294625,0.00883875,0.00294625,0.00883875,0.00294625,0.00883875,0.00294625
59,4014.76,0.75891,0.33552,0.97715,0.95965,0.97713,0.98472,0.77187,0.89795,0.31755,0.99747,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
60,4088.94,0.75613,0.33303,0.97478,0.9684,0.97474,0.98531,0.77477,0.89416,0.31749,0.99539,0.00809625,0.00269875,0.00809625,0.00269875,0.00809625,0.00269875,0.00809625,0.00269875
61,4162.25,0.75128,0.33308,0.97404,0.96775,0.97528,0.98212,0.77339,0.89581,0.31739,0.99602,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
62,4232.9,0.7479,0.33189,0.97142,0.96839,0.97468,0.98574,0.77892,0.89459,0.31484,0.99577,0.00735375,0.00245125,0.00735375,0.00245125,0.00735375,0.00245125,0.00735375,0.00245125
63,4306.12,0.74293,0.32842,0.9705,0.95935,0.97709,0.97009,0.76047,0.89577,0.31681,0.99615,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
64,4380.77,0.74039,0.32782,0.96763,0.96943,0.97019,0.98528,0.77475,0.89964,0.31689,0.99733,0.00661125,0.00220375,0.00661125,0.00220375,0.00661125,0.00220375,0.00661125,0.00220375
65,4452.51,0.73679,0.32672,0.96622,0.97531,0.97388,0.98419,0.77135,0.9001,0.31584,0.99866,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
66,4524.32,0.73286,0.32482,0.96408,0.97625,0.97474,0.98494,0.77356,0.90059,0.3164,0.99959,0.00586875,0.00195625,0.00586875,0.00195625,0.00586875,0.00195625,0.00586875,0.00195625
67,4596.29,0.72551,0.32135,0.96179,0.96902,0.97146,0.98539,0.7734,0.9029,0.31666,1.00084,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
