epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,522.88,1.77103,1.48987,1.34509,0.78493,0.74121,0.80324,0.5626,1.31656,0.86353,1.11679,0.000415987,0.000415987,0.000415987
2,980.232,1.60836,0.97452,1.21884,0.83591,0.77438,0.84698,0.60091,1.28315,0.77185,1.08624,0.000805176,0.000805176,0.000805176
3,1539.29,1.56102,0.93602,1.19794,0.85457,0.79906,0.86584,0.60929,1.26927,0.78332,1.08934,0.00116687,0.00116687,0.00116687
4,1997.26,1.50168,0.88987,1.16982,0.84634,0.80444,0.86559,0.61017,1.24622,0.73967,1.07029,0.00112625,0.00112625,0.00112625
5,2451.19,1.43638,0.84239,1.14101,0.85072,0.80009,0.87475,0.6376,1.19875,0.7129,1.04607,0.001085,0.001085,0.001085
6,2943.32,1.39104,0.80314,1.11688,0.85007,0.82042,0.88486,0.63689,1.19098,0.66342,1.04863,0.00104375,0.00104375,0.00104375
7,3531.58,1.35848,0.77638,1.10141,0.88432,0.81703,0.90391,0.65956,1.16818,0.65626,1.03413,0.0010025,0.0010025,0.0010025
8,3975.61,1.33091,0.75428,1.08861,0.86453,0.8405,0.91098,0.66567,1.1748,0.64647,1.0376,0.00096125,0.00096125,0.00096125
9,4562.72,1.31778,0.74093,1.08633,0.87545,0.83594,0.90821,0.67004,1.15094,0.64326,1.0311,0.00092,0.00092,0.00092
10,5140.8,1.28516,0.72129,1.07221,0.85726,0.88055,0.92297,0.68353,1.13977,0.62663,1.02175,0.00087875,0.00087875,0.00087875
11,5693.48,1.26913,0.70519,1.06435,0.87027,0.86111,0.9163,0.6834,1.12153,0.61463,1.0179,0.0008375,0.0008375,0.0008375
12,6270.27,1.2525,0.6975,1.05988,0.8752,0.86272,0.92068,0.69095,1.12129,0.60788,1.01657,0.00079625,0.00079625,0.00079625
13,6839.65,1.23997,0.68396,1.05298,0.87335,0.86739,0.92628,0.69832,1.10862,0.59954,1.01419,0.000755,0.000755,0.000755
14,7320.51,1.22337,0.67186,1.04614,0.87924,0.86137,0.92237,0.69216,1.10823,0.59882,1.01237,0.00071375,0.00071375,0.00071375
15,7871.45,1.2067,0.66053,1.04142,0.88288,0.86446,0.92635,0.70152,1.09922,0.59493,1.01182,0.0006725,0.0006725,0.0006725
16,8303.57,1.19678,0.65565,1.0362,0.87134,0.87077,0.92619,0.69728,1.10833,0.59794,1.00903,0.00063125,0.00063125,0.00063125
17,8842.31,1.17696,0.64066,1.02911,0.8829,0.87642,0.92863,0.70526,1.0806,0.57946,1.00563,0.00059,0.00059,0.00059
18,9334.06,1.16691,0.63529,1.02637,0.89439,0.86765,0.93016,0.70733,1.07142,0.57221,1.00126,0.00054875,0.00054875,0.00054875
19,9838.33,1.16148,0.63041,1.02404,0.88902,0.87058,0.92758,0.70577,1.08831,0.57339,1.00324,0.0005075,0.0005075,0.0005075
20,10263.5,1.14862,0.61889,1.0167,0.89794,0.87875,0.93802,0.71479,1.07065,0.56589,0.9988,0.00046625,0.00046625,0.00046625
21,10749.5,1.15103,0.59103,1.03294,0.89122,0.87416,0.9332,0.71172,1.08893,0.5686,1.00479,0.000425,0.000425,0.000425
22,11178.2,1.12775,0.57707,1.02173,0.89358,0.87441,0.9333,0.71416,1.06753,0.56149,0.99814,0.00038375,0.00038375,0.00038375
23,11556.5,1.10697,0.56906,1.01162,0.88925,0.88924,0.93711,0.71458,1.06421,0.55534,0.99684,0.0003425,0.0003425,0.0003425
24,11987.5,1.09388,0.56093,1.00933,0.89131,0.88417,0.93595,0.71766,1.06342,0.55219,0.99926,0.00030125,0.00030125,0.00030125
25,12318.4,1.08128,0.55216,1.00386,0.89363,0.88949,0.93632,0.71728,1.0605,0.54907,0.99958,0.00026,0.00026,0.00026
26,12653.7,1.06625,0.54414,0.99892,0.89143,0.89748,0.9371,0.71888,1.05308,0.54746,0.99548,0.00021875,0.00021875,0.00021875
27,13185.9,1.04617,0.53448,0.9879,0.89146,0.88633,0.93581,0.72104,1.04767,0.54243,0.99368,0.0001775,0.0001775,0.0001775
28,13488.5,1.03707,0.5301,0.98665,0.89204,0.88661,0.93836,0.72345,1.04704,0.53901,0.99401,0.00013625,0.00013625,0.00013625
29,13779.2,1.02299,0.52217,0.98058,0.89498,0.87921,0.9388,0.72735,1.04712,0.53859,0.99386,9.5e-05,9.5e-05,9.5e-05
30,14198.4,1.01462,0.51756,0.97977,0.88651,0.8939,0.93831,0.72528,1.04379,0.53606,0.99203,5.375e-05,5.375e-05,5.375e-05
